title,content,date,time_start,time_end,organizer,address,place,type
Заголовок 1,Контент 1,2020-11-01,09:00,12:00,Организатор 1,Адрес 1,Место 1,null
Заголовок 2,Контент 2,2020-11-02,09:00,12:00,Организатор 2,Адрес 2,Место 2,null
Заголовок 3,Контент 3,2020-11-03,09:00,12:00,Организатор 3,Адрес 3,Место 3,null
Заголовок 4,Контент 4,2020-11-04,09:00,12:00,Организатор 4,Адрес 4,Место 4,null
Заголовок 5,Контент 5,2020-11-05,09:00,12:00,Организатор 5,Адрес 5,Место 5,null
Заголовок 6,Контент 6,2020-11-05,09:00,12:00,Организатор 6,Адрес 6,Место 6,null
Заголовок 7,Контент 7,2020-11-06,09:00,12:00,Организатор 7,Адрес 7,Место 7,null
Заголовок 8,Контент 8,2020-11-10,09:00,12:00,Организатор 8,Адрес 8,Место 8,null
Заголовок 9,Контент 9,2020-11-11,09:00,12:00,Организатор 9,Адрес 9,Место 9,null
Заголовок 10,Контент 10,2020-11-01,09:00,12:00,Организатор 10,Адрес 10,Место 10,null
